,Weight,Acc@1,Acc@5,Params,GFLOPS,Recipe,Model,acc_per_params_M,model_type
0,AlexNet_Weights.IMAGENET1K_V1,56.522,79.066,61.1,0.71,link,AlexNet ,0.9250736497545008,AlexNet
1,ConvNeXt_Base_Weights.IMAGENET1K_V1,84.062,96.87,88.6,15.36,link,ConvNeXt_Base ,0.9487810383747178,ConvNeXt
2,ConvNeXt_Large_Weights.IMAGENET1K_V1,84.414,96.976,197.8,34.36,link,ConvNeXt_Large ,0.42676440849342767,ConvNeXt
3,ConvNeXt_Small_Weights.IMAGENET1K_V1,83.616,96.65,50.2,8.68,link,ConvNeXt_Small ,1.6656573705179283,ConvNeXt
4,ConvNeXt_Tiny_Weights.IMAGENET1K_V1,82.52,96.146,28.6,4.46,link,ConvNeXt_Tiny ,2.885314685314685,ConvNeXt
5,DenseNet121_Weights.IMAGENET1K_V1,74.434,91.972,8.0,2.83,link,DenseNet121 ,9.30425,DenseNet
6,DenseNet161_Weights.IMAGENET1K_V1,77.138,93.56,28.7,7.73,link,DenseNet161 ,2.687735191637631,DenseNet
7,DenseNet169_Weights.IMAGENET1K_V1,75.6,92.806,14.1,3.36,link,DenseNet169 ,5.361702127659574,DenseNet
8,DenseNet201_Weights.IMAGENET1K_V1,76.896,93.37,20.0,4.29,link,DenseNet201 ,3.8448,DenseNet
9,EfficientNet_B0_Weights.IMAGENET1K_V1,77.692,93.532,5.3,0.39,link,EfficientNet_B0 ,14.658867924528302,EfficientNet
10,EfficientNet_B1_Weights.IMAGENET1K_V1,78.642,94.186,7.8,0.69,link,EfficientNet_B1 ,10.082307692307692,EfficientNet
12,EfficientNet_B2_Weights.IMAGENET1K_V1,80.608,95.31,9.1,1.09,link,EfficientNet_B2 ,8.858021978021979,EfficientNet
13,EfficientNet_B3_Weights.IMAGENET1K_V1,82.008,96.054,12.2,1.83,link,EfficientNet_B3 ,6.7219672131147545,EfficientNet
14,EfficientNet_B4_Weights.IMAGENET1K_V1,83.384,96.594,19.3,4.39,link,EfficientNet_B4 ,4.32041450777202,EfficientNet
15,EfficientNet_B5_Weights.IMAGENET1K_V1,83.444,96.628,30.4,10.27,link,EfficientNet_B5 ,2.7448684210526317,EfficientNet
